GEOID,NAME.x,tot_population_race,pop_nonwhite,pop_nonwhitenh,race_pct_white,race_pct_whitenh,race_pct_nonwhite,race_pct_nonwhitenh,race_pct_black,race_pct_aapi,race_pct_native,race_pct_hisp,tot_population_income,in_poverty,inc_pct_poverty,inc_percapita_income,tot_population_language,only_english_pct,any_other_than_english_pct,spanish_pct,french_pct,chinese_pct,spanish_with_english_pct,spanish_no_english_pct,NAME.y,age_pct_under30,age_pct_over65
5.10131E+11,"Block Group 1, Census Tract 1001, Arlington County, Virginia",1143,151,289,0.867891514,0.747156605,0.132108486,0.252843395,0.020122485,0.034120735,0,0.141732283,1143,34,0.029746282,71834,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 1, Census Tract 1001, Arlington County, Virginia",0.181102362,0.13735783
5.10131E+11,"Block Group 2, Census Tract 1001, Arlington County, Virginia",902,334,417,0.629711752,0.537694013,0.370288248,0.462305987,0,0.362527716,0,0.099778271,902,16,0.017738359,87396,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 2, Census Tract 1001, Arlington County, Virginia",0.041019956,0.167405765
5.10131E+11,"Block Group 3, Census Tract 1001, Arlington County, Virginia",1275,116,198,0.909019608,0.844705882,0.090980392,0.155294118,0.009411765,0.039215686,0,0.101960784,1275,5,0.003921569,76907,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 3, Census Tract 1001, Arlington County, Virginia",0.066666667,0.093333333
5.10131E+11,"Block Group 4, Census Tract 1001, Arlington County, Virginia",1983,135,336,0.931921331,0.830559758,0.068078669,0.169440242,0,0.048915784,0,0.114473021,1983,8,0.004034291,74634,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 4, Census Tract 1001, Arlington County, Virginia",0.083207262,0.147755925
5.10131E+11,"Block Group 1, Census Tract 1002, Arlington County, Virginia",1541,206,328,0.866320571,0.787151201,0.133679429,0.212848799,0.000648929,0.014925373,0.040233615,0.115509409,1541,5,0.003244646,92239,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 1, Census Tract 1002, Arlington County, Virginia",0.03569111,0.122647631
5.10131E+11,"Block Group 2, Census Tract 1002, Arlington County, Virginia",1662,60,204,0.963898917,0.877256318,0.036101083,0.122743682,0,0.036101083,0,0.086642599,1662,34,0.02045728,84746,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 2, Census Tract 1002, Arlington County, Virginia",0.067990373,0.123947052
5.10131E+11,"Block Group 3, Census Tract 1002, Arlington County, Virginia",673,23,23,0.965824666,0.965824666,0.034175334,0.034175334,0,0.034175334,0,0,673,0,0,136392,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 3, Census Tract 1002, Arlington County, Virginia",0.034175334,0.362555721
5.10131E+11,"Block Group 4, Census Tract 1002, Arlington County, Virginia",1090,54,81,0.950458716,0.925688073,0.049541284,0.074311927,0,0.049541284,0,0.024770642,1090,35,0.032110092,86110,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 4, Census Tract 1002, Arlington County, Virginia",0.034862385,0.11559633
5.10131E+11,"Block Group 5, Census Tract 1002, Arlington County, Virginia",605,99,99,0.836363636,0.836363636,0.163636364,0.163636364,0,0.092561983,0,0,605,0,0,95515,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 5, Census Tract 1002, Arlington County, Virginia",0,0.137190083
5.10131E+11,"Block Group 6, Census Tract 1002, Arlington County, Virginia",921,149,203,0.838219327,0.779587405,0.161780673,0.220412595,0.017372421,0.124864278,0,0.058631922,921,22,0.023887079,95986,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 6, Census Tract 1002, Arlington County, Virginia",0.086862106,0.203040174
5.10131E+11,"Block Group 1, Census Tract 1003, Arlington County, Virginia",1182,98,286,0.917089679,0.758037225,0.082910321,0.241962775,0,0.082910321,0,0.159052453,1182,0,0,92481,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 1, Census Tract 1003, Arlington County, Virginia",0.021996616,0.225042301
5.10131E+11,"Block Group 2, Census Tract 1003, Arlington County, Virginia",1815,88,111,0.951515152,0.938842975,0.048484848,0.061157025,0,0.039669421,0,0.012672176,1815,0,0,119603,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 2, Census Tract 1003, Arlington County, Virginia",0.085950413,0.143250689
5.10131E+11,"Block Group 3, Census Tract 1003, Arlington County, Virginia",1683,111,111,0.934046346,0.934046346,0.065953654,0.065953654,0.011289364,0.05466429,0,0,1683,19,0.011289364,92207,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 3, Census Tract 1003, Arlington County, Virginia",0.035056447,0.138443256
5.10131E+11,"Block Group 4, Census Tract 1003, Arlington County, Virginia",527,0,34,1,0.935483871,0,0.064516129,0,0,0,0.064516129,527,28,0.05313093,87026,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 4, Census Tract 1003, Arlington County, Virginia",0.064516129,0.457305503
5.10131E+11,"Block Group 5, Census Tract 1003, Arlington County, Virginia",1328,378,393,0.715361446,0.704066265,0.284638554,0.295933735,0.089608434,0.090361446,0,0.073042169,807,6,0.007434944,77997,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 5, Census Tract 1003, Arlington County, Virginia",0.399096386,0.03689759
5.10131E+11,"Block Group 1, Census Tract 1004, Arlington County, Virginia",1557,108,154,0.930635838,0.901091843,0.069364162,0.098908157,0,0.026974952,0,0.056518947,1549,0,0,113329,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 1, Census Tract 1004, Arlington County, Virginia",0.055234425,0.231213873
5.10131E+11,"Block Group 2, Census Tract 1004, Arlington County, Virginia",658,59,69,0.910334347,0.895136778,0.089665653,0.104863222,0.024316109,0.051671733,0,0.02887538,658,18,0.027355623,99028,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 2, Census Tract 1004, Arlington County, Virginia",0.02887538,0.176291793
5.10131E+11,"Block Group 3, Census Tract 1004, Arlington County, Virginia",1552,172,314,0.889175258,0.797680412,0.110824742,0.202319588,0.06314433,0.028350515,0,0.091494845,1552,79,0.050902062,124097,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 3, Census Tract 1004, Arlington County, Virginia",0.074097938,0.173969072
5.10131E+11,"Block Group 1, Census Tract 1005, Arlington County, Virginia",1407,327,361,0.767590618,0.743425729,0.232409382,0.256574271,0.049040512,0.090973703,0,0.050461976,1407,53,0.037668799,79028,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 1, Census Tract 1005, Arlington County, Virginia",0.090973703,0.050461976
5.10131E+11,"Block Group 2, Census Tract 1005, Arlington County, Virginia",767,69,110,0.910039113,0.856584094,0.089960887,0.143415906,0.078226858,0,0,0.05345502,767,7,0.009126467,136392,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 2, Census Tract 1005, Arlington County, Virginia",0.079530639,0.208604954
5.10131E+11,"Block Group 3, Census Tract 1005, Arlington County, Virginia",1216,79,92,0.935032895,0.924342105,0.064967105,0.075657895,0,0.018092105,0,0.010690789,1216,0,0,100477,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 3, Census Tract 1005, Arlington County, Virginia",0.089638158,0.167763158
5.10131E+11,"Block Group 4, Census Tract 1005, Arlington County, Virginia",1307,199,244,0.847742923,0.81331293,0.152257077,0.18668707,0.012241775,0.048201989,0,0.061973986,1307,68,0.052027544,87600,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 4, Census Tract 1005, Arlington County, Virginia",0.168324407,0.120887529
5.10131E+11,"Block Group 1, Census Tract 1006, Arlington County, Virginia",1245,204,331,0.836144578,0.734136546,0.163855422,0.265863454,0.089959839,0.040160643,0,0.131726908,1030,40,0.038834951,72410,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 1, Census Tract 1006, Arlington County, Virginia",0.152610442,0.244176707
5.10131E+11,"Block Group 2, Census Tract 1006, Arlington County, Virginia",767,147,244,0.808344198,0.681877445,0.191655802,0.318122555,0.003911343,0.102998696,0,0.165580183,767,41,0.05345502,76487,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 2, Census Tract 1006, Arlington County, Virginia",0.134289439,0.076923077
5.10131E+11,"Block Group 3, Census Tract 1006, Arlington County, Virginia",1258,268,314,0.786963434,0.750397456,0.213036566,0.249602544,0.023847377,0.070747218,0.009538951,0.120031797,1258,103,0.081875994,77861,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 3, Census Tract 1006, Arlington County, Virginia",0.175675676,0.107313196
5.10131E+11,"Block Group 1, Census Tract 1007, Arlington County, Virginia",1548,259,390,0.832687339,0.748062016,0.167312661,0.251937984,0,0.156330749,0,0.089793282,1548,36,0.023255814,76078,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 1, Census Tract 1007, Arlington County, Virginia",0.122739018,0.084625323
5.10131E+11,"Block Group 2, Census Tract 1007, Arlington County, Virginia",664,0,0,1,1,0,0,0,0,0,0,664,114,0.171686747,73081,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 2, Census Tract 1007, Arlington County, Virginia",0.102409639,0.19126506
5.10131E+11,"Block Group 3, Census Tract 1007, Arlington County, Virginia",784,104,104,0.867346939,0.867346939,0.132653061,0.132653061,0,0.132653061,0,0,784,50,0.06377551,95063,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 3, Census Tract 1007, Arlington County, Virginia",0.06377551,0.154336735
5.10131E+11,"Block Group 4, Census Tract 1007, Arlington County, Virginia",1090,69,181,0.936697248,0.833944954,0.063302752,0.166055046,0.003669725,0,0,0.108256881,1070,33,0.030841121,75260,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 4, Census Tract 1007, Arlington County, Virginia",0.210091743,0.085321101
5.10131E+11,"Block Group 5, Census Tract 1007, Arlington County, Virginia",874,246,400,0.718535469,0.542334096,0.281464531,0.457665904,0,0.226544622,0.034324943,0.196796339,874,86,0.098398169,69371,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 5, Census Tract 1007, Arlington County, Virginia",0.220823799,0.106407323
5.10131E+11,"Block Group 6, Census Tract 1007, Arlington County, Virginia",915,405,405,0.557377049,0.557377049,0.442622951,0.442622951,0.012021858,0.06010929,0,0.355191257,915,341,0.372677596,56281,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 6, Census Tract 1007, Arlington County, Virginia",0.255737705,0.121311475
5.10131E+11,"Block Group 1, Census Tract 1008, Arlington County, Virginia",763,380,422,0.501965924,0.446920052,0.498034076,0.553079948,0.27129751,0.200524246,0,0.116644823,763,69,0.090432503,48361,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 1, Census Tract 1008, Arlington County, Virginia",0.138925295,0.186107471
5.10131E+11,"Block Group 2, Census Tract 1008, Arlington County, Virginia",855,405,474,0.526315789,0.445614035,0.473684211,0.554385965,0.277192982,0.014035088,0,0.171929825,855,19,0.022222222,57047,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 2, Census Tract 1008, Arlington County, Virginia",0.216374269,0.122807018
5.10131E+11,"Block Group 1, Census Tract 1009, Arlington County, Virginia",1360,184,196,0.864705882,0.855882353,0.135294118,0.144117647,0.036764706,0.056617647,0,0.008823529,1360,89,0.065441176,83828,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 1, Census Tract 1009, Arlington County, Virginia",0.058088235,0.219852941
5.10131E+11,"Block Group 2, Census Tract 1009, Arlington County, Virginia",775,92,113,0.881290323,0.854193548,0.118709677,0.145806452,0.010322581,0.073548387,0,0.046451613,775,16,0.020645161,100178,NA,NA,NA,NA,NA,NA,NA,NA,"Block Group 2, Census Tract 1009, Arlington County, Virginia",0.056774194,0.192258065
