,civ_name,abv
1,Alcova Heights,AlcH
2,Arlington - East Falls Church,EFC
3,Arlington Forest,ArlF
4,Arlington Heights,ArlH
5,Arlington Mill,ArlM
6,Arlington Ridge,ArlR
7,Arlington View,ArlV
8,Arlingwood,Arlw
9,Ashton Heights,AshH
10,Aurora Highlands,Aur
11,Ballston - Virginia Square,Ball
12,Barcroft,Bar
13,Bellevue Forest,Bell
14,Bluemont,Blue
15,Boulevard Manor,Boul
16,Buckingham,Buck
17,Chain Bridge Forest,CBF
18,Cherry Valley Nature Area,CVN
19,Cherrydale,Cher
20,Claremont,Clar
21,Clarendon - Courthouse,ClCo
22,Colonial Village,CV
23,Columbia Forest,ColF
24,Columbia Heights,ColH
25,Country Club Hills,CCH
26,Crystal City,Crys
27,Dominion Hills,DomH
28,Donaldson Run,DonR
29,Douglas Park,DouP
30,Dover Crystal,DovC
31,Fairlington,Fair
32,Forest Glen,FG
33,Foxcroft Heights,FH
34,Glebewood,Gleb
35,Glencarlyn,Glen
36,Green Valley,GV
37,Gulf Branch,GB
38,Highland Park - Overlee Knolls,HPOK
39,John M Langston,JML
40,Leeway Overlee,LeeO
41,Long Branch Creek,LBC
42,Lyon Park,LP
43,Lyon Village,LV
44,Madison Manor,MadM
45,Maywood,May
46,North Highlands,NH
47,North Rosslyn,NR
48,Old Dominion,OD
49,Old Glebe,OG
50,Penrose,Pen
51,Radnor/Ft.Myer Heights,RFtM
52,Rivercrest,Rivc
53,Riverwood,Rivw
54,Rock Spring,RS
55,Shirlington,Shir
56,Stafford-Albemarle-Glebe,SAG
57,Tara - Leeway Heights,TLH
58,Waverly Hills,WavH
59,Waycroft - Woodlawn,WayW
60,Westover Village,WV
61,Williamsburg,Will
62,Woodmont,Wood
63,Yorktown,York
