"geo_id","tot_pop_race","pop_white","pop_black","pop_native","pop_asian","pop_pac_isl","pop_other","pop_two_plus","tot_pop_hisp","pop_not_hisp","pop_white_not_hisp","pop_hisp","tot_pop_income","pop_in_poverty","per_cap_income","pop_nonwhite","pct_white","pct_nonwhite","pct_black","pct_asian","pct_pac_isl","pct_native","pct_other","pct_two_plus","pct_hisp","pct_white_not_hisp","pct_in_poverty"
"510131001001",1209,1021,22,0,65,0,16,85,1209,1045,878,164,1209,29,82957,188,84.449958643507,15.550041356493,1.81968569065343,5.37634408602151,0,0,1.32340777502068,7.03060380479735,13.564929693962,72.6220016542597,2.39867659222498
"510131001002",921,661,0,0,235,0,7,18,921,832,579,89,921,18,90715,260,71.7698154180239,28.2301845819761,0,25.5157437567861,0,0,0.760043431053203,1.95439739413681,9.66340933767644,62.8664495114006,1.95439739413681
"510131001003",1172,1090,13,0,12,0,52,5,1172,1044,1014,128,1172,7,87065,82,93.0034129692833,6.99658703071673,1.10921501706485,1.02389078498294,0,0,4.43686006825939,0.426621160409556,10.9215017064846,86.518771331058,0.597269624573379
"510131001004",1994,1839,0,0,118,0,24,13,1994,1792,1661,202,1994,8,78351,155,92.2266800401204,7.77331995987964,0,5.91775325977934,0,0,1.20361083249749,0.651955867602808,10.1303911735206,83.2998996990973,0.401203610832498
"510131002001",1344,1135,2,47,35,0,0,125,1344,1241,1073,103,1344,4,97045,209,84.4494047619048,15.5505952380952,0.148809523809524,2.60416666666667,0,3.49702380952381,0,9.30059523809524,7.66369047619048,79.8363095238095,0.297619047619048
"510131002002",1492,1416,0,0,76,0,0,0,1492,1345,1269,147,1492,63,96621,76,94.9061662198391,5.09383378016086,0,5.09383378016086,0,0,0,0,9.85254691689008,85.0536193029491,4.22252010723861
"510131002003",705,686,0,0,19,0,0,0,705,705,686,0,705,0,136811,19,97.3049645390071,2.69503546099291,0,2.69503546099291,0,0,0,0,0,97.3049645390071,0
"510131002004",1250,1181,49,0,20,0,0,0,1250,1142,1073,108,1250,20,96334,69,94.48,5.52,3.92,1.6,0,0,0,0,8.64,85.84,1.6
"510131002005",834,697,0,0,84,0,0,53,834,796,659,38,834,0,91813,137,83.5731414868106,16.4268585131894,0,10.0719424460432,0,0,0,6.35491606714628,4.55635491606715,79.0167865707434,0
"510131002006",975,877,18,0,61,0,0,19,975,912,814,63,975,27,101403,98,89.948717948718,10.051282051282,1.84615384615385,6.25641025641026,0,0,0,1.94871794871795,6.46153846153846,83.4871794871795,2.76923076923077
"510131003001",1291,1271,0,0,20,0,0,0,1291,1060,1040,231,1291,0,91774,20,98.4508133230054,1.54918667699458,0,1.54918667699458,0,0,0,0,17.8931061192874,80.557707203718,0
"510131003002",1621,1578,0,0,28,0,0,15,1621,1516,1473,105,1621,0,139229,43,97.347316471314,2.652683528686,0,1.72732880937693,0,0,0,0.925354719309069,6.47748303516348,90.8698334361505,0
"510131003003",1439,1263,21,0,155,0,0,0,1439,1439,1263,0,1439,44,96384,176,87.7692842251564,12.2307157748436,1.4593467685893,10.7713690062543,0,0,0,0,0,87.7692842251564,3.05767894371091
"510131003004",423,423,0,0,0,0,0,0,423,397,397,26,423,37,106244,0,100,0,0,0,0,0,0,0,6.14657210401891,93.8534278959811,8.74704491725768
"510131003005",1481,1102,111,0,152,0,71,45,1481,1382,1085,99,992,6,91610,379,74.40918298447,25.59081701553,7.4949358541526,10.2633355840648,0,0,4.79405806887238,3.03848750844024,6.68467251856853,73.2613099257259,0.604838709677419
"510131004001",1489,1380,0,0,52,0,18,39,1489,1369,1310,120,1479,12,125669,109,92.6796507723304,7.32034922766958,0,3.49227669576897,0,0,1.20886501007387,2.61920752182673,8.05910006715917,87.9785090664876,0.811359026369168
"510131004002",796,626,0,0,161,0,0,9,796,787,626,9,796,17,114951,170,78.643216080402,21.356783919598,0,20.2261306532663,0,0,0,1.13065326633166,1.13065326633166,78.643216080402,2.1356783919598
"510131004003",1633,1415,100,0,67,0,0,51,1633,1476,1258,157,1633,94,114818,218,86.6503368034293,13.3496631965707,6.12369871402327,4.10287813839559,0,0,0,3.12308634415187,9.61420698101653,77.0361298224127,5.75627679118187
"510131005001",1374,1052,26,0,84,0,50,162,1374,1245,1016,129,1374,30,88867,322,76.5647743813683,23.4352256186317,1.89228529839884,6.11353711790393,0,0,3.63901018922853,11.7903930131004,9.38864628820961,73.9446870451237,2.18340611353712
"510131005002",779,705,64,0,0,0,0,10,779,779,705,0,779,7,146361,74,90.5006418485237,9.49935815147626,8.21566110397946,0,0,0,0,1.28369704749679,0,90.5006418485237,0.898587933247754
"510131005003",1271,1212,0,0,46,0,0,13,1271,1256,1197,15,1271,0,118543,59,95.3579858379229,4.6420141620771,0,3.6191974822974,0,0,0,1.0228166797797,1.1801730920535,94.1778127458694,0
"510131005004",1098,946,17,0,48,0,0,87,1098,1058,926,40,1098,63,82908,152,86.1566484517304,13.8433515482696,1.54826958105647,4.37158469945355,0,0,0,7.92349726775956,3.64298724954463,84.3351548269581,5.73770491803279
"510131006001",1469,1137,81,0,95,55,33,68,1469,1147,914,322,1255,44,69508,332,77.3995915588836,22.6004084411164,5.51395507147719,6.46698434309054,3.74404356705242,0,2.24642614023145,4.62899931926481,21.9196732471069,62.2191967324711,3.50597609561753
"510131006002",915,701,3,0,44,0,50,117,915,774,604,141,915,55,75767,214,76.6120218579235,23.3879781420765,0.327868852459016,4.80874316939891,0,0,5.46448087431694,12.7868852459016,15.4098360655738,66.0109289617486,6.01092896174863
"510131006003",1083,953,51,0,43,0,0,36,1083,1047,917,36,1083,79,80160,130,87.9963065558633,12.0036934441367,4.70914127423823,3.97045244690674,0,0,0,3.32409972299169,3.32409972299169,84.6722068328717,7.29455216989843
"510131007001",1405,1053,71,0,271,0,5,5,1405,1275,928,130,1405,53,69749,352,74.9466192170819,25.0533807829181,5.05338078291815,19.288256227758,0,0,0.355871886120996,0.355871886120996,9.25266903914591,66.0498220640569,3.77224199288256
"510131007002",541,541,0,0,0,0,0,0,541,541,541,0,541,84,93071,0,100,0,0,0,0,0,0,0,0,100,15.5268022181146
"510131007003",802,653,0,0,88,0,0,61,802,752,603,50,802,38,97401,149,81.4214463840399,18.5785536159601,0,10.9725685785536,0,0,0,7.60598503740648,6.23441396508728,75.1870324189526,4.73815461346633
"510131007004",1201,1187,8,0,0,0,6,0,1201,1100,1092,101,1180,34,97473,14,98.834304746045,1.16569525395504,0.666111573688593,0,0,0,0.499583680266445,0,8.40965861781848,90.9242298084929,2.88135593220339
"510131007005",997,750,0,22,200,0,25,0,997,843,621,154,997,74,69824,247,75.2256770310933,24.7743229689067,0,20.0601805416249,0,2.20661985957874,2.50752256770311,0,15.4463390170512,62.2868605817452,7.4222668004012
"510131007006",885,429,22,0,58,0,360,16,885,525,429,360,885,349,56986,456,48.4745762711864,51.5254237288136,2.48587570621469,6.55367231638418,0,0,40.6779661016949,1.80790960451977,40.6779661016949,48.4745762711864,39.4350282485876
"510131008001",848,363,329,0,139,0,0,17,848,769,315,79,848,42,46361,485,42.8066037735849,57.1933962264151,38.7971698113208,16.3915094339623,0,0,0,2.00471698113208,9.31603773584906,37.1462264150943,4.95283018867925
"510131008002",769,451,229,0,14,0,0,75,769,672,354,97,769,52,63557,318,58.6475942782835,41.3524057217165,29.778933680104,1.82054616384915,0,0,0,9.75292587776333,12.6137841352406,46.0338101430429,6.76202860858258
"510131009001",1332,1150,71,0,75,0,0,36,1332,1290,1125,42,1332,82,94934,182,86.3363363363363,13.6636636636637,5.33033033033033,5.63063063063063,0,0,0,2.7027027027027,3.15315315315315,84.4594594594595,6.15615615615616
"510131009002",793,680,17,0,28,7,11,50,793,716,648,77,793,30,89076,113,85.750315258512,14.249684741488,2.1437578814628,3.53089533417402,0.882723833543506,0,1.38713745271122,6.30517023959647,9.70996216897856,81.7150063051702,3.78310214375788
"510131009003",1062,798,141,0,106,0,0,17,1062,1062,798,0,1062,28,80960,264,75.1412429378531,24.8587570621469,13.2768361581921,9.98116760828625,0,0,0,1.60075329566855,0,75.1412429378531,2.63653483992467
"510131009004",1008,743,31,0,103,0,64,67,1008,824,623,184,1008,21,57224,265,73.7103174603175,26.2896825396825,3.07539682539683,10.218253968254,0,0,6.34920634920635,6.6468253968254,18.2539682539683,61.8055555555556,2.08333333333333
"510131010001",776,695,0,0,9,0,72,0,776,631,622,145,776,0,79677,81,89.5618556701031,10.4381443298969,0,1.15979381443299,0,0,9.27835051546392,0,18.6855670103093,80.1546391752577,0
"510131010002",798,746,0,0,14,0,0,38,798,757,705,41,798,0,77899,52,93.483709273183,6.51629072681705,0,1.75438596491228,0,0,0,4.76190476190476,5.13784461152882,88.3458646616541,0
"510131010003",844,642,53,0,49,0,10,90,844,749,557,95,844,44,60755,202,76.0663507109005,23.9336492890995,6.27962085308057,5.80568720379147,0,0,1.18483412322275,10.6635071090047,11.2559241706161,65.9952606635071,5.21327014218009
"510131010004",890,696,154,0,27,0,2,11,890,860,668,30,890,3,73804,194,78.2022471910112,21.7977528089888,17.3033707865169,3.03370786516854,0,0,0.224719101123596,1.23595505617978,3.37078651685393,75.0561797752809,0.337078651685393
"510131011001",1301,1153,30,0,72,0,43,3,1301,1270,1128,31,1301,26,92377,148,88.6241352805534,11.3758647194466,2.30591852421214,5.53420445810915,0,0,3.30514988470407,0.230591852421214,2.38278247501922,86.7025365103766,1.99846272098386
